"Word";"Frec"
"facha";NA
"corrupcion";NA
"tesis";NA
"plagio";NA
"chalet";NA
"racista";NA
"separatistas";2
"liberal";NA
"independentistas";NA
"contrato fijo";NA
"empleo precario";NA
"empleo temporal";NA
"subir salario minimo";NA
"brecha salarial";NA
"deuda publica";NA
"pensiones";NA
"incrementar natalidad";NA
"contrato unico indefinido";NA
"precariedad";NA
"lucha precariedad";NA
"contratos basura";NA
"ofrecer vivienda";NA
"subir impuestos";NA
"expropiar";NA
"maternidad";NA
"feminismo";NA
"muerte digna";NA
"maltrato";NA
"concertinas";NA
"asilo";NA
"refugiados";NA
"ultraderecha";5
"lgtbi";NA
"romper espana";NA
"trio colon";NA
"vieja politica";NA
"transicion ecologica";NA
"violencia machista";NA
"violencia intrafamiliar";NA
"prision permanente revisable";NA
"gobierno progresista";NA
"pablo iglesias";NA
"iglesias";11
"pabloiglesias";7
"ahorapodemos";12
"irenemontero";2
"unidas podemos";3
"podemos";10
"casado";13
"pablo casado";NA
"pablocasado";4
"populares";NA
"pp";NA
"partido popular";NA
"ciudadanos";5
"cs";NA
"ciudadanoscs";4
"inesarrimadas";18
"albertrivera";NA
"rivera";30
"albert rivera";NA
"psoe";55
"partido socialista obrero espanol";NA
"pedro sanchez";70
"sanchez";130
"sanchezcastejon";68
"vox";22
"santiago abascal";1
"abascal";4
"voxes";NA
"santiabascal";5
"veleta naranja";NA
"derechita cobarde";NA
"trifachito";1
"si se puede";NA
"venezuela";1
"chavistas";NA
"bolivarianos";NA
"viva espana";NA
"etarra";NA
"proetarras";NA
"comunistas";NA
"frentismo";NA
"energias renovables";NA
"golpistas";NA
"enemigos espana";NA
"fascismo";NA
