"Word";"Frec"
"facha";NA
"corrupcion";6
"tesis";NA
"plagio";NA
"chalet";NA
"racista";1
"separatistas";NA
"liberal";1
"independentistas";6
"contrato fijo";NA
"empleo precario";NA
"empleo temporal";NA
"subir salario minimo";NA
"brecha salarial";NA
"deuda publica";NA
"pensiones";2
"incrementar natalidad";NA
"contrato unico indefinido";NA
"precariedad";5
"lucha precariedad";NA
"contratos basura";NA
"ofrecer vivienda";NA
"subir impuestos";NA
"expropiar";NA
"maternidad";NA
"feminismo";1
"muerte digna";NA
"maltrato";34
"concertinas";NA
"asilo";NA
"refugiados";NA
"ultraderecha";NA
"lgtbi";NA
"romper espana";NA
"trio colon";NA
"vieja politica";12
"transicion ecologica";NA
"violencia machista";NA
"violencia intrafamiliar";NA
"prision permanente revisable";NA
"gobierno progresista";1
"pablo iglesias";NA
"iglesias";1
"pabloiglesias";9
"ahorapodemos";3
"irenemontero";1
"unidas podemos";15
"podemos";25
"casado";1
"pablo casado";NA
"pablocasado";161
"populares";7
"pp";NA
"partido popular";NA
"ciudadanos";30
"cs";NA
"ciudadanoscs";11
"inesarrimadas";NA
"albertrivera";NA
"rivera";19
"albert rivera";NA
"psoe";54
"partido socialista obrero espanol";NA
"pedro sanchez";16
"sanchez";25
"sanchezcastejon";324
"vox";5
"santiago abascal";NA
"abascal";NA
"voxes";1
"santiabascal";15
"veleta naranja";NA
"derechita cobarde";NA
"trifachito";NA
"si se puede";NA
"venezuela";1
"chavistas";NA
"bolivarianos";NA
"viva espana";NA
"etarra";NA
"proetarras";NA
"comunistas";NA
"frentismo";NA
"energias renovables";NA
"golpistas";NA
"enemigos espana";NA
"fascismo";NA
