"City";"Support_PP";"Support_PSOE";"Support_Cs";"Support_Podemos";"Support_VOX"
"Bilbao";3;4;3;5;2
"Las Palmas de Gran Canaria";4;4;3;5;2
"Palma";4;3;3;3;3
"Murcia";3;4;3;6;5
"Málaga";4;4;3;4;4
"Zaragoza";3;3;2;1;1
"Sevilla";4;4;3;5;5
"València";3;4;1;4;2
"Barcelona";4;4;3;6;4
"Madrid";4;4;3;6;4
