"City";"Support_PP";"Support_PSOE";"Support_Cs";"Support_Podemos";"Support_VOX"
"Bilbao";4;4;2;6;4
"Las Palmas de Gran Canaria";4;3;3;6;4
"Palma";3;4;3;4;4
"Murcia";4;4;3;6;5
"Málaga";3;4;3;4;5
"Zaragoza";2;4;3;5;5
"Sevilla";4;4;3;6;4
"València";3;4;3;6;4
"Barcelona";3;4;3;6;4
"Madrid";4;4;3;6;5
