"City";"Support_PP";"Support_PSOE";"Support_Cs";"Support_Podemos";"Support_VOX"
"Bilbao";4;4;3;6;4
"Las Palmas de Gran Canaria";4;4;3;6;3
"Palma";4;4;3;6;5
"Murcia";4;4;3;6;3
"Málaga";3;3;2;6;3
"Zaragoza";0;0;3;3;0
"Sevilla";4;4;3;6;4
"València";4;4;2;6;5
"Barcelona";4;4;3;6;5
"Madrid";4;4;3;6;5
