"City";"Support_PP";"Support_PSOE";"Support_Cs";"Support_Podemos";"Support_VOX"
"Bilbao";3;4;2;4;3
"Las Palmas de Gran Canaria";3;3;2;5;4
"Palma";2;3;2;2;3
"Murcia";3;4;3;0;5
"Málaga";1;2;0;3;2
"Zaragoza";0;1;0;2;3
"Sevilla";4;4;3;6;4
"València";0;4;1;1;1
"Barcelona";4;4;3;6;5
"Madrid";4;4;3;6;5
