"City";"Support_PP";"Support_PSOE";"Support_Cs";"Support_Podemos";"Support_VOX"
"Bilbao";3;4;4;5;4
"Las Palmas de Gran Canaria";3;3;2;3;2
"Palma";3;4;4;4;3
"Murcia";3;4;4;6;3
"Málaga";4;2;3;4;1
"Zaragoza";3;3;1;6;3
"Sevilla";3;4;3;6;3
"València";2;4;3;4;4
"Barcelona";3;4;4;5;4
"Madrid";4;4;4;7;4
