"City";"Support_PP";"Support_PSOE";"Support_Cs";"Support_Podemos";"Support_VOX"
"Bilbao";12;8;26;2;15
"Las Palmas de Gran Canaria";0;6;3;8;2
"Palma";-1;7;12;11;5
"Murcia";4;9;45;5;9
"Málaga";5;1;5;0;6
"Zaragoza";1;0;0;1;1
"Sevilla";2;5;14;9;1
"València";4;2;12;-3;9
"Barcelona";-5;22;30;16;4
"Madrid";15;15;54;7;8
