"City";"Support_PP";"Support_PSOE";"Support_Cs";"Support_Podemos";"Support_VOX"
"Bilbao";3;4;4;5;4
"Las Palmas de Gran Canaria";1;4;3;4;5
"Palma";0;4;4;2;4
"Murcia";3;4;3;4;5
"Málaga";1;3;0;1;3
"Zaragoza";2;4;3;3;5
"Sevilla";4;4;4;6;5
"València";3;4;2;6;3
"Barcelona";4;4;4;7;5
"Madrid";4;4;4;7;5
