"City";"Support_PP";"Support_PSOE";"Support_Cs";"Support_Podemos";"Support_VOX"
"Bilbao";-5;18;24;22;-7
"Las Palmas de Gran Canaria";16;1;20;-5;17
"Palma";4;5;16;8;9
"Murcia";-2;18;24;9;-3
"Málaga";9;8;21;-3;17
"Zaragoza";3;9;13;4;7
"Sevilla";-11;15;22;18;-15
"València";-2;11;9;12;-2
"Barcelona";-24;36;26;34;-33
"Madrid";-16;25;26;38;-10
