"City";"Support_PP";"Support_PSOE";"Support_Cs";"Support_Podemos";"Support_VOX"
"Bilbao";34;-7;62;-13;26
"Las Palmas de Gran Canaria";-13;11;33;15;2
"Palma";12;0;33;6;10
"Murcia";5;1;47;16;16
"Málaga";25;-4;36;-9;19
"Zaragoza";0;10;37;16;-1
"Sevilla";-16;26;17;24;-9
"València";4;13;23;16;0
"Barcelona";-9;30;55;32;-6
"Madrid";-16;29;52;33;-6
