"City";"Support_PP";"Support_PSOE";"Support_Cs";"Support_Podemos";"Support_VOX"
"Bilbao";-27;22;7;32;-17
"Las Palmas de Gran Canaria";16;-11;24;-19;33
"Palma";12;1;10;-8;13
"Murcia";-2;9;7;5;5
"Málaga";-4;8;-4;8;-3
"Zaragoza";0;1;0;2;3
"Sevilla";-8;22;4;17;-13
"València";0;5;9;-1;6
"Barcelona";9;8;27;5;15
"Madrid";7;0;45;5;11
