"City";"Support_PP";"Support_PSOE";"Support_Cs";"Support_Podemos";"Support_VOX"
"Bilbao";-15;16;34;31;-1
"Las Palmas de Gran Canaria";3;-3;18;12;-10
"Palma";0;3;0;1;0
"Murcia";12;1;17;3;15
"Málaga";4;14;13;4;5
"Zaragoza";9;4;6;-1;6
"Sevilla";0;5;3;4;1
"València";2;11;6;8;4
"Barcelona";7;8;25;10;1
"Madrid";1;12;16;17;-5
