"City";"Support_PP";"Support_PSOE";"Support_Cs";"Support_Podemos";"Support_VOX"
"Bilbao";0;18;32;12;-6
"Las Palmas de Gran Canaria";-3;11;12;14;2
"Palma";2;3;9;-1;8
"Murcia";15;14;39;-6;18
"Málaga";-3;-1;2;7;-1
"Zaragoza";2;5;11;3;5
"Sevilla";-4;12;10;14;5
"València";-2;17;1;11;0
"Barcelona";5;26;42;15;0
"Madrid";3;9;51;17;20
