"City";"Support_PP";"Support_PSOE";"Support_Cs";"Support_Podemos";"Support_VOX"
"Bilbao";4;4;4;7;5
"Las Palmas de Gran Canaria";4;4;4;6;5
"Palma";4;4;4;5;3
"Murcia";4;4;4;7;4
"Málaga";4;4;4;5;4
"Zaragoza";4;4;3;5;4
"Sevilla";4;4;3;6;3
"València";4;4;2;6;4
"Barcelona";4;4;4;5;4
"Madrid";4;4;4;7;5
