"City";"Support_PP";"Support_PSOE";"Support_Cs";"Support_Podemos";"Support_VOX"
"Bilbao";3;4;4;5;5
"Las Palmas de Gran Canaria";0;2;0;5;1
"Palma";2;3;2;6;1
"Murcia";4;4;3;4;5
"Málaga";0;2;0;2;1
"Zaragoza";1;0;0;1;1
"Sevilla";2;4;3;5;5
"València";1;3;1;2;1
"Barcelona";3;4;4;5;4
"Madrid";4;4;3;7;4
