"City";"Support_PP";"Support_PSOE";"Support_Cs";"Support_Podemos";"Support_VOX"
"Bilbao";7;3;24;10;15
"Las Palmas de Gran Canaria";2;7;20;9;7
"Palma";-17;23;7;27;-6
"Murcia";10;12;29;9;9
"Málaga";1;9;23;10;1
"Zaragoza";-19;17;8;28;-12
"Sevilla";-3;13;13;13;-3
"València";-3;12;10;9;-11
"Barcelona";-13;27;32;32;-11
"Madrid";-8;22;32;32;-10
