"City";"Support_PP";"Support_PSOE";"Support_Cs";"Support_Podemos";"Support_VOX"
"Bilbao";3;4;3;4;2
"Las Palmas de Gran Canaria";2;4;1;2;1
"Palma";3;4;2;5;5
"Murcia";3;4;4;5;5
"Málaga";2;3;3;3;5
"Zaragoza";1;1;0;3;1
"Sevilla";1;3;3;3;4
"València";1;3;2;3;2
"Barcelona";4;4;3;7;5
"Madrid";4;4;3;7;5
