"City";"Support_PP";"Support_PSOE";"Support_Cs";"Support_Podemos";"Support_VOX"
"Bilbao";9;0;50;11;4
"Las Palmas de Gran Canaria";-6;12;2;17;-2
"Palma";9;1;18;7;10
"Murcia";5;0;46;10;4
"Málaga";3;8;23;10;9
"Zaragoza";0;-8;11;3;6
"Sevilla";-17;20;19;29;-11
"València";2;22;18;16;-4
"Barcelona";4;12;38;15;1
"Madrid";12;4;48;3;9
