"City";"Support_PP";"Support_PSOE";"Support_Cs";"Support_Podemos";"Support_VOX"
"Bilbao";-19;33;27;35;-10
"Las Palmas de Gran Canaria";-22;34;12;37;-21
"Palma";11;9;21;3;9
"Murcia";-1;22;23;13;-6
"Málaga";-5;24;30;16;-10
"Zaragoza";-28;27;4;36;-15
"Sevilla";0;18;32;16;8
"València";-3;8;26;14;-7
"Barcelona";-12;31;21;31;-10
"Madrid";11;18;41;8;16
