"City";"Support_PP";"Support_PSOE";"Support_Cs";"Support_Podemos";"Support_VOX"
"Bilbao";-14;25;-2;23;-18
"Las Palmas de Gran Canaria";2;16;22;17;-18
"Palma";8;-3;15;1;5
"Murcia";3;13;16;8;6
"Málaga";4;4;20;1;0
"Zaragoza";1;5;9;6;2
"Sevilla";-9;7;13;11;-1
"València";1;9;3;3;2
"Barcelona";-11;25;28;30;-19
"Madrid";-28;42;19;42;-20
