"tweets";"text"
"754542";" harrikomendi merotowers asi ciutadans solo entienden crispar enfrentar promover odio decian montapollos “ h…"
"754542";" eajpnv aitoresteban lndebatea pretendes gobernar comunidad autonoma sabes explicar sist… "
"754542";" nandosmijangos lndebatea pena politicos nivel nacional talla aitor esteban sienta catedra cada…"
"754542";" avinute lndebatea aitor esteban haria mejor presidente gobierno incultos analfabetos vividores …"
"754542";" avinute lnencampana lndebatea resumen hoy panda vividores sistema corrupto hace vividores publi…"
"754542";" avinute lnencampana lndebatea resumen hoy panda vividores sistema corrupto hace vividores publi…"
"754542";" masland recordar toni canto upyd ahora cs upyd denunciaba corrupcion pp …"
"754542";" puntualh encuesta ganado debate lnencampana lndebatea"
"754542";""
"754542";"axturcelta lndebatea jejejej gracioso hombre subir pensiones ipc inviable formu… "
"754542";" avinute lnencampana lndebatea resumen hoy panda vividores sistema corrupto hace vividores publi…"
"754542";" avinute lnencampana lndebatea resumen hoy panda vividores sistema corrupto hace vividores publi…"
"754542";"nnggalbacete pablocasado populares lndebatea ciudadanos colmo division segun si so… "
"754542";"paulomariante lauraborras lndebatea mientras incordiar elecciones ver repae sopa boba… "
"754542";" avinute lnencampana lndebatea resumen hoy panda vividores sistema corrupto hace vividores publi…"
"754542";" avinute lnencampana lndebatea resumen hoy panda vividores sistema corrupto hace vividores publi…"
"754542";"lnencampana lndebatea resumen hoy panda vividores sistema corrupto hace vividores… "
"754542";" harrikomendi merotowers asi ciutadans solo entienden crispar enfrentar promover odio decian montapollos “ h…"
"754542";"lndebatea "
"754542";" puntualh encuesta ganado debate lnencampana lndebatea"
"754542";"merotowers asi ciutadans solo entienden crispar enfrentar promover odio decian montapollos… "
"754542";" avinute lndebatea aitor esteban haria mejor presidente gobierno incultos analfabetos vividores …"
"754542";" puntualh encuesta ganado debate lnencampana lndebatea"
"754542";" grande teogarciaegea levanta entrega bandera espana independentista gabriel rufian u… "
"754542";" puntualh encuesta ganado debate lnencampana lndebatea"
"754542";"lndebatea construir destruir lectura deja debate egea tratando manipular argume… "
"754542";" puntualh encuesta ganado debate lnencampana lndebatea"
"754542";" puntualh encuesta ganado debate lnencampana lndebatea"
"754542";" puntualh encuesta ganado debate lnencampana lndebatea"
"754542";"encuesta ganado debate lnencampana lndebatea"
"754542";" masland recordar toni canto upyd ahora cs upyd denunciaba corrupcion pp …"
"754542";"aqui momentazo teodoro garcia regala rufian bandera espana lndebatea "
"754542";" pesado pp mirar futuro lndebatea"
"754542";"pedro sanchez buen obrero viaja avion teogarciaegea lndebatea"
"754542";"lndebatea aitor esteban haria mejor presidente gobierno incultos analfabetos vivid… "
"754542";" recordar toni canto upyd ahora cs upyd denunciaba corrupcion… "
"754542";" lndebatea pae risa tonicanto solo falta darle unas tonejas "
"754542";" markeloregi si cataluna decidir espanoles decidimos demas regiones tambien l…"
"754542";"lndebatea cobra independentista na tarda dos espabilados … "
"754542";"lndebatea senor aitoresteban pliegos tambien pueden meter temas sociales respeto conven… "
"754542";"lndebatea gente pp ademas cinicos mentirosos maleducados pretenden tener razon dejando hablar… "
"754542";"lndebatea voto paidopacma"
"754542";"cuanta razon santi lndebatea "
"754542";"lndebatea teodetiroteo bien arregladito va paleto "
"754542";"lndebatea ppcsvox euskal herria vascongadas llamais vais comer mierda fatxas"
"754542";"lndebatea pp parece robot drogado repitiendo constantemente mirar futuro xd"
"754542";" pnv sufrio eta ole cojones morenos lndebatea"
"754542";"lndebatea colado marronhormi elhormiguero "
"754542";"gonzalojalao lndebatea pagar ah ninguno"
"754542";" lgr trolls lndebatea dan respiroxd "
"754542";" albajimen lndebatea pp hablando patria orgullo espanol primeros cuentas extranjero numero …"
"754542";"guanderbul concepto lndebatea"
"754542";" jbernabeus vergüenza ajena dando toni canto lndebatea"
"754542";"si cataluna decidir espanoles decidimos demas regiones tambien lndebatea"
"754542";" puntualh gran debate lasexta noche lnencampana lndebatea "
"754542";" avinute lndebatea claro puestos vais crear publico mas funcionarios privado …"
"754542";" albajimen lndebatea pp hablando patria orgullo espanol primeros cuentas extranjero numero …"
"754542";"lndebatea pp hablando patria orgullo espanol primeros cuentas extranjero nume… "
"754542";"toni canto va explicar si cree noticias mundo today verdad mediocre actor nefasto politico lndebatea"
"754542";" trolls lndebatea dan respiroxd "
"754542";" avinute lndebatea claro puestos vais crear publico mas funcionarios privado …"
"754542";"vergüenza ajena dando toni canto lndebatea"
"754542";" tezkerra euskadieneldebate incumplimiento estatuto leyes recoan transferencias cataluna euskadi tien…"
"754542";"lndebatea senor tonicanto deja hacer puto ridiculo"
"754542";"euskadieneldebate incumplimiento estatuto leyes recoan transferencias cataluna eu… "
"754542";"lndebatea respeto tiempo palabra brilla ausencia"
"754542";"lndebatea ahora toni canto salta tapa "
"754542";" puntualh gran debate lasexta noche lnencampana lndebatea "
"754542";"lndebatea claro puestos vais crear publico mas funcionarios … "
"754542";"lndebatea toni canto traido hoy faceta comico comico malo podia hacer companero felixuco dormirse "
"754542";"lndebatea "
"754542";"lndebatea "
"754542";"lndebatea "
"754542";"lndebatea "
"754542";"lndebatea ppque sorpresa"
"754542";" nandosmijangos lndebatea pena politicos nivel nacional talla aitor esteban sienta catedra cada…"
"754542";" nandosmijangos lndebatea pena politicos nivel nacional talla aitor esteban sienta catedra cada…"
"754542";" nandosmijangos lndebatea pena politicos nivel nacional talla aitor esteban sienta catedra cada…"
"754542";"lndebatea pena politicos nivel nacional talla aitor esteban sienta catedra cada vez abre boca"
"754542";"lndebatea mienten imposible seguirlos cambiar forma hacer politica"
"754542";"lndebatea pensaran taxistas escuchar toni canto decir cs paido autonomos"
"754542";" ahora mismo agarzon lndebatea "
"754542";" lndebatea dicho chale venezuela "
"754542";"lndebatea metros cuadrados venezuela misma frase menos mal pensaba habian cambiado senor… "
"754542";"lndebatea teogarciaegea sacado chalet pabloiglesias venezuela rato"
"754542";" cesarpueas lndebatea teogarciaegea igualito cayetanaat inesarrimadas macarras"
"754542";"lndebatea teogarciaegea igualito cayetanaat inesarrimadas macarras"
"754542";"euskadieneldebate hacer apuesta industria competitividad mejora i+d+i formacion profesio… "
"754542";"teogarciaegea lndebatea maestro fakenews pierdas noche hara gala campeon "
"754542";"gran debate lasexta noche lnencampana lndebatea "
"754542";" tezkerra euskadieneldebate reclamamos vamos trabajar sistema pensiones publico sostenible viable lndebatea aito…"
"754542";"euskadieneldebate reclamamos vamos trabajar sistema pensiones publico sostenible viable lndebatea aitoresteban"
"754542";"but doihane athlive futfem "
"754542";" athleticclub gol leiaz athlive futfem "
"754542";"oihanes goal athlive futfem "
"754542";" athleticclub ´ leiaz cabecea corner botado euarraiza subir primer paido marcador athlive…"
"754542";" neka touches ball coming from mdiazcirauqui cross and oihane at the far post scores with her right foot athlive futfem"
"754542";" gol oihane athlive futfem "
"754542";" athleticclub ´ gooool goooool goooooooool gol leiaz athlive futfem"
"754542";" athleticclub ´ gooool goooool goooooooool gol oihane athlive futfem"
"754542";"´ centro mdiazcirauqui dejada neka oihane segundo palo incrusta balon mallas athlive futfem"
"754542";" buuuut buuuut buuuuut but doihane athlive futfem"
"754542";" goal goal goal gooooaaal goal thanks to oihane athlive futfem"
"754542";" athleticclub ´ gooool goooool goooooooool gol oihane athlive futfem"
