"Word";"Frec"
"facha";3
"corrupcion";1
"tesis";106
"plagio";1
"chalet";NA
"racista";1
"separatistas";NA
"liberal";7
"independentistas";10
"contrato fijo";NA
"empleo precario";2
"empleo temporal";NA
"subir salario minimo";3
"brecha salarial";NA
"deuda publica";5
"pensiones";9
"incrementar natalidad";NA
"contrato unico indefinido";NA
"precariedad";NA
"lucha precariedad";NA
"contratos basura";NA
"ofrecer vivienda";NA
"subir impuestos";NA
"expropiar";NA
"maternidad";NA
"feminismo";13
"muerte digna";NA
"maltrato";10
"concertinas";NA
"asilo";NA
"refugiados";NA
"ultraderecha";1
"lgtbi";NA
"romper espana";NA
"trio colon";NA
"vieja politica";NA
"transicion ecologica";NA
"violencia machista";NA
"violencia intrafamiliar";NA
"prision permanente revisable";NA
"gobierno progresista";NA
"pablo iglesias";67
"iglesias";98
"pabloiglesias";403
"ahorapodemos";14
"irenemontero";2
"unidas podemos";7
"podemos";69
"casado";188
"pablo casado";53
"pablocasado";148
"populares";150
"pp";NA
"partido popular";NA
"ciudadanos";200
"cs";NA
"ciudadanoscs";16
"inesarrimadas";5
"albertrivera";NA
"rivera";439
"albert rivera";NA
"psoe";90
"partido socialista obrero espanol";NA
"pedro sanchez";45
"sanchez";242
"sanchezcastejon";35
"vox";170
"santiago abascal";NA
"abascal";35
"voxes";39
"santiabascal";15
"veleta naranja";NA
"derechita cobarde";NA
"trifachito";4
"si se puede";NA
"venezuela";89
"chavistas";NA
"bolivarianos";NA
"viva espana";NA
"etarra";1
"proetarras";NA
"comunistas";NA
"frentismo";NA
"energias renovables";NA
"golpistas";NA
"enemigos espana";NA
"fascismo";24
