"Word";"Frec"
"facha";2
"corrupcion";1
"tesis";NA
"plagio";NA
"chalet";1
"racista";NA
"separatistas";NA
"liberal";NA
"independentistas";NA
"contrato fijo";NA
"empleo precario";NA
"empleo temporal";NA
"subir salario minimo";NA
"brecha salarial";NA
"deuda publica";NA
"pensiones";NA
"incrementar natalidad";NA
"contrato unico indefinido";NA
"precariedad";NA
"lucha precariedad";NA
"contratos basura";NA
"ofrecer vivienda";NA
"subir impuestos";NA
"expropiar";NA
"maternidad";NA
"feminismo";1
"muerte digna";NA
"maltrato";1
"concertinas";NA
"asilo";NA
"refugiados";1
"ultraderecha";3
"lgtbi";4
"romper espana";NA
"trio colon";NA
"vieja politica";NA
"transicion ecologica";NA
"violencia machista";1
"violencia intrafamiliar";NA
"prision permanente revisable";NA
"gobierno progresista";NA
"pablo iglesias";3
"iglesias";6
"pabloiglesias";7
"ahorapodemos";1
"irenemontero";NA
"unidas podemos";2
"podemos";8
"casado";278
"pablo casado";0
"pablocasado";5
"populares";2
"pp";NA
"partido popular";NA
"ciudadanos";9
"cs";NA
"ciudadanoscs";2
"inesarrimadas";15
"albertrivera";NA
"rivera";214
"albert rivera";NA
"psoe";118
"partido socialista obrero espanol";NA
"pedro sanchez";101
"sanchez";143
"sanchezcastejon";49
"vox";16
"santiago abascal";NA
"abascal";91
"voxes";5
"santiabascal";2
"veleta naranja";NA
"derechita cobarde";NA
"trifachito";NA
"si se puede";NA
"venezuela";5
"chavistas";NA
"bolivarianos";NA
"viva espana";NA
"etarra";NA
"proetarras";NA
"comunistas";NA
"frentismo";NA
"energias renovables";NA
"golpistas";3
"enemigos espana";NA
"fascismo";27
