"Word";"Frec"
"facha";NA
"corrupcion";NA
"tesis";NA
"plagio";NA
"chalet";NA
"racista";NA
"separatistas";NA
"liberal";1
"independentistas";NA
"contrato fijo";NA
"empleo precario";NA
"empleo temporal";NA
"subir salario minimo";NA
"brecha salarial";NA
"deuda publica";NA
"pensiones";1
"incrementar natalidad";NA
"contrato unico indefinido";NA
"precariedad";NA
"lucha precariedad";NA
"contratos basura";NA
"ofrecer vivienda";NA
"subir impuestos";NA
"expropiar";NA
"maternidad";NA
"feminismo";NA
"muerte digna";NA
"maltrato";NA
"concertinas";NA
"asilo";NA
"refugiados";NA
"ultraderecha";NA
"lgtbi";NA
"romper espana";NA
"trio colon";NA
"vieja politica";NA
"transicion ecologica";NA
"violencia machista";NA
"violencia intrafamiliar";NA
"prision permanente revisable";2
"gobierno progresista";NA
"pablo iglesias";2
"iglesias";8
"pabloiglesias";6
"ahorapodemos";1
"irenemontero";NA
"unidas podemos";NA
"podemos";5
"casado";9
"pablo casado";3
"pablocasado";21
"populares";9
"pp";NA
"partido popular";NA
"ciudadanos";6
"cs";NA
"ciudadanoscs";1
"inesarrimadas";1
"albertrivera";NA
"rivera";5
"albert rivera";NA
"psoe";10
"partido socialista obrero espanol";NA
"pedro sanchez";2
"sanchez";15
"sanchezcastejon";4
"vox";10
"santiago abascal";NA
"abascal";NA
"voxes";1
"santiabascal";NA
"veleta naranja";NA
"derechita cobarde";NA
"trifachito";NA
"si se puede";NA
"venezuela";2
"chavistas";NA
"bolivarianos";NA
"viva espana";NA
"etarra";NA
"proetarras";NA
"comunistas";NA
"frentismo";NA
"energias renovables";NA
"golpistas";NA
"enemigos espana";NA
"fascismo";NA
