"Word";"Frec"
"pablo iglesias";7
"iglesias";7
"pabloiglesias";NA
"ahorapodemos";NA
"irenemontero";NA
"unidas podemos";6
"podemos";8
"casado";21
"pablo casado";NA
"pablocasado";1
"populares";2
"pp";NA
"partido popular";NA
"ciudadanos";2
"cs";NA
"ciudadanoscs";NA
"inesarrimadas";NA
"albertrivera";NA
"rivera";NA
"albert rivera";NA
"psoe";1
"partido socialista obrero espanol";NA
"pedro sanchez";10
"sanchez";16
"sanchezcastejon";10
"vox";NA
"santiago abascal";NA
"abascal";NA
"voxes";1
"santiabascal";1
