"Word";"Frec"
"pablo iglesias";NA
"iglesias";1
"pabloiglesias";34
"ahorapodemos";36
"irenemontero";NA
"unidas podemos";28
"podemos";63
"casado";4
"pablo casado";NA
"pablocasado";8
"populares";31
"pp";NA
"partido popular";NA
"ciudadanos";14
"cs";NA
"ciudadanoscs";11
"inesarrimadas";3
"albertrivera";NA
"rivera";30
"albert rivera";NA
"psoe";455
"partido socialista obrero espanol";NA
"pedro sanchez";61
"sanchez";141
"sanchezcastejon";127
"vox";32
"santiago abascal";NA
"abascal";4
"voxes";11
"santiabascal";7
