"Word";"Frec"
"facha";1
"corrupcion";9
"tesis";2
"plagio";NA
"chalet";NA
"racista";NA
"separatistas";2
"liberal";20
"independentistas";8
"contrato fijo";NA
"empleo precario";NA
"empleo temporal";NA
"subir salario minimo";NA
"brecha salarial";NA
"deuda publica";NA
"pensiones";5
"incrementar natalidad";NA
"contrato unico indefinido";NA
"precariedad";2
"lucha precariedad";NA
"contratos basura";NA
"ofrecer vivienda";NA
"subir impuestos";NA
"expropiar";NA
"maternidad";1
"feminismo";3
"muerte digna";NA
"maltrato";98
"concertinas";NA
"asilo";NA
"refugiados";NA
"ultraderecha";4
"lgtbi";NA
"romper espana";NA
"trio colon";NA
"vieja politica";NA
"transicion ecologica";NA
"violencia machista";NA
"violencia intrafamiliar";NA
"prision permanente revisable";NA
"gobierno progresista";NA
"pablo iglesias";4
"iglesias";47
"pabloiglesias";583
"ahorapodemos";10
"irenemontero";99
"unidas podemos";144
"podemos";266
"casado";97
"pablo casado";37
"pablocasado";205
"populares";206
"pp";NA
"partido popular";NA
"ciudadanos";137
"cs";NA
"ciudadanoscs";61
"inesarrimadas";11
"albertrivera";NA
"rivera";172
"albert rivera";NA
"psoe";221
"partido socialista obrero espanol";NA
"pedro sanchez";399
"sanchez";714
"psoe";221
"sanchezcastejon";87
"vox";55
"santiago abascal";NA
"abascal";5
"voxes";6
"santiabascal";5
"veleta naranja";NA
"derechita cobarde";NA
"trifachito";3
"si se puede";NA
"venezuela";1
"chavistas";NA
"bolivarianos";NA
"viva espana";NA
"etarra";NA
"proetarras";NA
"comunistas";NA
"frentismo";NA
"energias renovables";NA
"golpistas";66
"enemigos espana";NA
"fascismo";13
