"name";"url";"query";"woeid";"City"
"#L6Ndebatea7";"http://twitter.com/search?q=%23L6Ndebatea7";"%23L6Ndebatea7";"754542";"Bilbao"
"#futfem";"http://twitter.com/search?q=%23futfem";"%23futfem";"754542";"Bilbao"
"Constitución";"http://twitter.com/search?q=Constituci%C3%B3n";"Constituci%C3%B3n";"754542";"Bilbao"
"#basqueFEST";"http://twitter.com/search?q=%23basqueFEST";"%23basqueFEST";"754542";"Bilbao"
"Valladolid";"http://twitter.com/search?q=Valladolid";"Valladolid";"754542";"Bilbao"
"Barcelona";"http://twitter.com/search?q=Barcelona";"Barcelona";"754542";"Bilbao"
"Ojalá";"http://twitter.com/search?q=Ojal%C3%A1";"Ojal%C3%A1";"754542";"Bilbao"
"Francia";"http://twitter.com/search?q=Francia";"Francia";"754542";"Bilbao"
"Errenteria";"http://twitter.com/search?q=Errenteria";"Errenteria";"754542";"Bilbao"
"Sri Lanka";"http://twitter.com/search?q=%22Sri+Lanka%22";"%22Sri+Lanka%22";"754542";"Bilbao"
"#FelizDomingo";"http://twitter.com/search?q=%23FelizDomingo";"%23FelizDomingo";"754542";"Bilbao"
"#SriLanka";"http://twitter.com/search?q=%23SriLanka";"%23SriLanka";"754542";"Bilbao"
"Domingo de Resurrección";"http://twitter.com/search?q=%22Domingo+de+Resurrecci%C3%B3n%22";"%22Domingo+de+Resurrecci%C3%B3n%22";"754542";"Bilbao"
"Feliz Pascua de Resurrección";"http://twitter.com/search?q=%22Feliz+Pascua+de+Resurrecci%C3%B3n%22";"%22Feliz+Pascua+de+Resurrecci%C3%B3n%22";"754542";"Bilbao"
"Fernando Savater";"http://twitter.com/search?q=%22Fernando+Savater%22";"%22Fernando+Savater%22";"754542";"Bilbao"
"Resucitado";"http://twitter.com/search?q=Resucitado";"Resucitado";"754542";"Bilbao"
"Happy Easter";"http://twitter.com/search?q=%22Happy+Easter%22";"%22Happy+Easter%22";"754542";"Bilbao"
"Borja Iglesias";"http://twitter.com/search?q=%22Borja+Iglesias%22";"%22Borja+Iglesias%22";"754542";"Bilbao"
"Domingo de Pascua";"http://twitter.com/search?q=%22Domingo+de+Pascua%22";"%22Domingo+de+Pascua%22";"754542";"Bilbao"
"Juan José Millás";"http://twitter.com/search?q=%22Juan+Jos%C3%A9+Mill%C3%A1s%22";"%22Juan+Jos%C3%A9+Mill%C3%A1s%22";"754542";"Bilbao"
"Felices Pascuas";"http://twitter.com/search?q=%22Felices+Pascuas%22";"%22Felices+Pascuas%22";"754542";"Bilbao"
"Colombo";"http://twitter.com/search?q=Colombo";"Colombo";"754542";"Bilbao"
"Henríquez de Luna";"http://twitter.com/search?q=%22Henr%C3%ADquez+de+Luna%22";"%22Henr%C3%ADquez+de+Luna%22";"754542";"Bilbao"
"Puado";"http://twitter.com/search?q=Puado";"Puado";"754542";"Bilbao"
"easter sunday";"http://twitter.com/search?q=%22easter+sunday%22";"%22easter+sunday%22";"754542";"Bilbao"
"Carranza";"http://twitter.com/search?q=Carranza";"Carranza";"754542";"Bilbao"
"Anabel Alonso";"http://twitter.com/search?q=%22Anabel+Alonso%22";"%22Anabel+Alonso%22";"754542";"Bilbao"
"CNMV";"http://twitter.com/search?q=CNMV";"CNMV";"754542";"Bilbao"
"Javi López";"http://twitter.com/search?q=%22Javi+L%C3%B3pez%22";"%22Javi+L%C3%B3pez%22";"754542";"Bilbao"
"Jn 20";"http://twitter.com/search?q=%22Jn+20%22";"%22Jn+20%22";"754542";"Bilbao"
"Wu Lei";"http://twitter.com/search?q=%22Wu+Lei%22";"%22Wu+Lei%22";"754542";"Bilbao"
"Isabel II";"http://twitter.com/search?q=%22Isabel+II%22";"%22Isabel+II%22";"754542";"Bilbao"
"Rosa Regàs";"http://twitter.com/search?q=%22Rosa+Reg%C3%A0s%22";"%22Rosa+Reg%C3%A0s%22";"754542";"Bilbao"
"Rockets";"http://twitter.com/search?q=Rockets";"Rockets";"754542";"Bilbao"
"Orbán";"http://twitter.com/search?q=Orb%C3%A1n";"Orb%C3%A1n";"754542";"Bilbao"
"Torroella de Montgrí";"http://twitter.com/search?q=%22Torroella+de+Montgr%C3%AD%22";"%22Torroella+de+Montgr%C3%AD%22";"754542";"Bilbao"
"#LevanteEspanyol";"http://twitter.com/search?q=%23LevanteEspanyol";"%23LevanteEspanyol";"754542";"Bilbao"
"#Pascua";"http://twitter.com/search?q=%23Pascua";"%23Pascua";"754542";"Bilbao"
"#PrayforSriLanka";"http://twitter.com/search?q=%23PrayforSriLanka";"%23PrayforSriLanka";"754542";"Bilbao"
"#CádizNumancia";"http://twitter.com/search?q=%23C%C3%A1dizNumancia";"%23C%C3%A1dizNumancia";"754542";"Bilbao"
"#DomingoDeResureccion";"http://twitter.com/search?q=%23DomingoDeResureccion";"%23DomingoDeResureccion";"754542";"Bilbao"
"#FelizPascua";"http://twitter.com/search?q=%23FelizPascua";"%23FelizPascua";"754542";"Bilbao"
"#MATResurrección";"http://twitter.com/search?q=%23MATResurrecci%C3%B3n";"%23MATResurrecci%C3%B3n";"754542";"Bilbao"
"#verdolatríaRadio3";"http://twitter.com/search?q=%23verdolatr%C3%ADaRadio3";"%23verdolatr%C3%ADaRadio3";"754542";"Bilbao"
"#Recre";"http://twitter.com/search?q=%23Recre";"%23Recre";"754542";"Bilbao"
"#krypteGOL";"http://twitter.com/search?q=%23krypteGOL";"%23krypteGOL";"754542";"Bilbao"
"#AberriEguna2019";"http://twitter.com/search?q=%23AberriEguna2019";"%23AberriEguna2019";"754542";"Bilbao"
"#GameBoy";"http://twitter.com/search?q=%23GameBoy";"%23GameBoy";"754542";"Bilbao"
