"Province";"Name";"Population";"Longitude";"Latitude";"Autonomous_Community"
"Albacete";"Casas de Ves";628;-1.33;39.25;"País Vasco/Euskadi"
"Albacete";"Casas-Ibáñez";4558;-1.47;39.28;"País Vasco/Euskadi"
"Albacete";"Caudete";10010;-0.98;38.7;"País Vasco/Euskadi"
"Albacete";"Cenizate";1192;-1.66;39.3;"País Vasco/Euskadi"
"Albacete";"Corral-Rubio";342;-1.46;38.83;"País Vasco/Euskadi"
"Albacete";"Cotillas";130;-2.5;38.43;"País Vasco/Euskadi"
"Albacete";"Chinchilla de Monte-Aragón";4213;-1.72;38.92;"País Vasco/Euskadi"
"Albacete";"Elche de la Sierra";3666;-2.04;38.44;"País Vasco/Euskadi"
"Albacete";"Férez";678;-2;38.35;"País Vasco/Euskadi"
"Albacete";"Fuensanta";313;-2.06;39.24;"País Vasco/Euskadi"
"Albacete";"Fuente-Álamo";2531;-1.43;38.69;"País Vasco/Euskadi"
"Albacete";"Fuentealbilla";1843;-1.54;39.26;"País Vasco/Euskadi"
"Albacete";"La Gineta";2457;-1.99;39.11;"País Vasco/Euskadi"
"Albacete";"Golosalvo";110;-1.63;39.23;"País Vasco/Euskadi"
"Albacete";"Hellín";30184;-1.7;38.51;"País Vasco/Euskadi"
"Albacete";"La Herrera";341;-2.12;38.96;"País Vasco/Euskadi"
"Albacete";"Higueruela";1196;-1.44;38.96;"País Vasco/Euskadi"
"Albacete";"Hoya-Gonzalo";643;-1.55;38.95;"País Vasco/Euskadi"
"Albacete";"Jorquera";378;-1.52;39.17;"País Vasco/Euskadi"
"Albacete";"Letur";948;-2.1;38.36;"País Vasco/Euskadi"
"Albacete";"Lezuza";1412;-2.35;38.94;"País Vasco/Euskadi"
"Albacete";"Liétor";1240;-1.95;38.54;"País Vasco/Euskadi"
"Albacete";"Madrigueras";4647;-1.79;39.23;"País Vasco/Euskadi"
"Albacete";"Mahora";1360;-1.72;39.21;"País Vasco/Euskadi"
"Albacete";"Masegoso";115;-2.31;38.71;"País Vasco/Euskadi"
"Albacete";"Minaya";1538;-2.31;39.27;"País Vasco/Euskadi"
"Albacete";"Molinicos";863;-2.23;38.46;"País Vasco/Euskadi"
"Albacete";"Montalvos";102;-2.02;39.16;"País Vasco/Euskadi"
"Albacete";"Montealegre del Castillo";2057;-1.32;38.78;"País Vasco/Euskadi"
"Albacete";"Motilleja";549;-1.79;39.17;"País Vasco/Euskadi"
"Albacete";"Munera";3572;-2.48;39.03;"País Vasco/Euskadi"
"Albacete";"Navas de Jorquera";523;-1.71;39.28;"País Vasco/Euskadi"
"Albacete";"Nerpio";1277;-2.3;38.14;"País Vasco/Euskadi"
"Albacete";"Ontur";2072;-1.49;38.61;"País Vasco/Euskadi"
"Albacete";"Ossa de Montiel";2411;-2.74;38.96;"País Vasco/Euskadi"
"Albacete";"Paterna del Madera";359;-2.34;38.59;"País Vasco/Euskadi"
"Albacete";"Peñascosa";328;-2.41;38.67;"País Vasco/Euskadi"
"Albacete";"Peñas de San Pedro";1436;-2;38.72;"País Vasco/Euskadi"
"Albacete";"Pétrola";719;-1.55;38.82;"País Vasco/Euskadi"
"Albacete";"Povedilla";452;-2.6;38.7;"País Vasco/Euskadi"
"Albacete";"Pozohondo";1653;-1.91;38.72;"País Vasco/Euskadi"
"Albacete";"Pozo-Lorente";414;-1.5;39.07;"País Vasco/Euskadi"
"Albacete";"Pozuelo";514;-2.1;38.8;"País Vasco/Euskadi"
"Albacete";"La Recueja";260;-1.48;39.17;"País Vasco/Euskadi"
"Albacete";"Riópar";1391;-2.41;38.49;"País Vasco/Euskadi"
"Albacete";"Robledo";366;-2.44;38.75;"País Vasco/Euskadi"
"Albacete";"La Roda";15603;-2.15;39.2;"País Vasco/Euskadi"
"Albacete";"Salobre";523;-2.55;38.59;"País Vasco/Euskadi"
"Albacete";"San Pedro";1179;-2.18;38.82;"País Vasco/Euskadi"
"Albacete";"Socovos";1788;-1.98;38.33;"País Vasco/Euskadi"
"Albacete";"Tarazona de la Mancha";6363;-1.91;39.26;"País Vasco/Euskadi"
"Albacete";"Tobarra";7754;-1.69;38.59;"País Vasco/Euskadi"
"Albacete";"Valdeganga";1958;-1.67;39.13;"País Vasco/Euskadi"
"Albacete";"Vianos";359;-2.5;38.63;"País Vasco/Euskadi"
"Albacete";"Villa de Ves";59;-1.25;39.22;"País Vasco/Euskadi"
"Albacete";"Villalgordo del Júcar";1125;-2.06;39.29;"País Vasco/Euskadi"
"Albacete";"Villamalea";4124;-1.59;39.36;"País Vasco/Euskadi"
"Albacete";"Villapalacios";594;-2.63;38.57;"País Vasco/Euskadi"
"Albacete";"Villarrobledo";25317;-2.6;39.26;"País Vasco/Euskadi"
"Albacete";"Villatoya";107;-1.33;39.33;"País Vasco/Euskadi"
"Albacete";"Villavaliente";219;-1.45;39.12;"País Vasco/Euskadi"
"Albacete";"Villaverde de Guadalimar";349;-2.51;38.45;"País Vasco/Euskadi"
"Albacete";"Viveros";338;-2.57;38.77;"País Vasco/Euskadi"
"Albacete";"Yeste";2742;-2.31;38.36;"País Vasco/Euskadi"
