"City";"Support_PP";"Support_PSOE";"Support_Cs";"Support_Podemos";"Support_VOX"
"Bilbao";-21;114;252;137;7
"Las Palmas de Gran Canaria";0;75;148;90;6
"Palma";19;40;130;45;57
"Murcia";19;88;260;71;47
"Málaga";37;48;167;26;54
"Zaragoza";-31;60;98;81;1
"Sevilla";-55;101;145;111;-19
"València";-3;79;119;64;0
"Barcelona";-8;136;332;127;-18
"Madrid";-1;125;350;132;15
