"City";"Woeid";"Support_PP";"Support_PSOE";"Support_Cs";"Support_Podemos";"Support_VOX"
"Bilbao";754536;16;35;19;2;0
"Las Palmas de Gran Canaria";764820;-8;15;4;-5;0
"Palma";769293;4;0;2;0;0
"Murcia";768031;4;15;6;10;0
"Málaga";766365;9;18;-1;9;0
"Zaragoza";779070;4;7;-1;7;0
"Sevilla";774508;6;4;5;2;0
"València";776690;11;6;6;4;0
"Barcelona";753697;4;24;6;0;0
"Madrid";766277;7;21;9;-1;0
