"City";"Support_PP";"Support_PSOE";"Support_Cs";"Support_Podemos";"Support_VOX"
"Bilbao";-2;23;28;28;-5
"Las Palmas de Gran Canaria";20;6;24;0;19
"Palma";13;4;24;7;17
"Murcia";6;14;31;9;7
"Málaga";18;8;28;-4;26
"Zaragoza";6;13;15;5;8
"Sevilla";-7;20;25;23;-10
"València";1;16;10;16;0
"Barcelona";-15;32;33;33;-24
"Madrid";-7;21;33;38;-1
