"City";"Woeid";"Support_PP";"Support_PSOE";"Support_Cs";"Support_Podemos";"Support_VOX"
"Bilbao";754553;7;26;1;14;0
"Las Palmas de Gran Canaria";764814;5;3;7;3;0
"Palma";769290;3;10;7;6;0
"Murcia";768018;16;35;17;-2;0
"Málaga";766361;0;5;0;7;0
"Zaragoza";779063;0;0;2;2;0
"Sevilla";774510;4;15;8;0;0
"València";776691;2;13;-1;10;0
"Barcelona";753696;7;30;3;14;0
"Madrid";766286;10;47;2;8;0
