"City";"Support_PP";"Support_PSOE";"Support_Cs";"Support_Podemos";"Support_VOX"
"Bilbao";-5;14;9;13;-6
"Las Palmas de Gran Canaria";0;12;14;12;-12
"Palma";2;1;10;5;-1
"Murcia";-3;11;12;10;0
"Málaga";7;-1;17;-3;4
"Zaragoza";-5;8;6;10;-2
"Sevilla";-15;12;9;17;-6
"València";0;5;2;2;2
"Barcelona";-8;15;30;20;-15
"Madrid";-15;22;29;26;-6
