"City";"Woeid";"Support_PP";"Support_PSOE";"Support_Cs";"Support_Podemos";"Support_VOX"
"Bilbao";754541;12;24;11;-6;0
"Las Palmas de Gran Canaria";764810;10;13;14;1;0
"Palma";769295;2;9;-1;8;0
"Murcia";768040;11;37;-4;17;0
"Málaga";766352;-5;1;6;0;0
"Zaragoza";779058;7;7;9;-1;0
"Sevilla";774497;10;5;15;-1;0
"València";776685;10;2;7;-1;0
"Barcelona";753700;18;48;7;4;0
"Madrid";766279;11;41;9;18;0
