"City";"Support_PP";"Support_PSOE";"Support_Cs";"Support_Podemos";"Support_VOX"
"Bilbao";33;-1;61;-1;26
"Las Palmas de Gran Canaria";-4;8;40;14;12
"Palma";16;6;37;11;13
"Murcia";9;7;51;23;20
"Málaga";29;2;40;-4;23
"Zaragoza";9;11;44;16;8
"Sevilla";-7;23;23;23;-1
"València";8;19;25;22;4
"Barcelona";0;27;62;30;3
"Madrid";-12;31;55;38;-1
