"Word";"Frec"
"pablo iglesias";14
"iglesias";115
"pabloiglesias";41
"ahorapodemos";18
"irenemontero";1
"unidas podemos";NA
"podemos";NA
"casado";140
"pablo casado";8
"pablocasado";33
"populares";22
"pp";NA
"partido popular";NA
"ciudadanos";7
"cs";NA
"ciudadanoscs";23
"inesarrimadas";1
"albertrivera";NA
"rivera";178
"albert rivera";NA
"psoe";363
"partido socialista obrero espanol";NA
"pedro sanchez";46
"sanchez";301
"sanchezcastejon";91
"vox";2
"santiago abascal";2
"abascal";3
"voxes";NA
"santiabascal";NA
