"Word";"Frec"
"pablo iglesias";24
"iglesias";78
"pabloiglesias";348
"ahorapodemos";15
"irenemontero";1
"unidas podemos";1
"podemos";108
"casado";90
"pablo casado";18
"pablocasado";64
"populares";9
"pp";NA
"partido popular";NA
"ciudadanos";17
"cs";NA
"ciudadanoscs";86
"inesarrimadas";40
"albertrivera";NA
"rivera";424
"albert rivera";NA
"psoe";49
"partido socialista obrero espanol";NA
"pedro sanchez";97
"sanchez";265
"sanchezcastejon";93
"vox";12
"santiago abascal";NA
"abascal";26
"voxes";3
"santiabascal";3
