"Word";"Frec"
"pablo iglesias";251
"iglesias";456
"pabloiglesias";214
"ahorapodemos";13
"irenemontero";NA
"unidas podemos";NA
"podemos";8
"casado";469
"pablo casado";47
"pablocasado";82
"populares";119
"pp";NA
"partido popular";NA
"ciudadanos";15
"cs";NA
"ciudadanoscs";15
"inesarrimadas";99
"albertrivera";NA
"rivera";922
"albert rivera";NA
"psoe";222
"partido socialista obrero espanol";NA
"pedro sanchez";289
"sanchez";1014
"sanchezcastejon";319
"vox";39
"santiago abascal";1
"abascal";17
"voxes";4
"santiabascal";NA
