"Word";"Frec"
"pablo iglesias";44
"iglesias";148
"pabloiglesias";30
"ahorapodemos";NA
"irenemontero";1
"unidas podemos";NA
"podemos";1
"casado";53
"pablo casado";5
"pablocasado";32
"populares";10
"pp";NA
"partido popular";NA
"ciudadanos";4
"cs";NA
"ciudadanoscs";5
"inesarrimadas";3
"albertrivera";NA
"rivera";210
"albert rivera";NA
"psoe";64
"partido socialista obrero espanol";NA
"pedro sanchez";24
"sanchez";192
"sanchezcastejon";21
"vox";23
"santiago abascal";2
"abascal";7
"voxes";NA
"santiabascal";2
