"Word";"Frec"
"pablo iglesias";1
"iglesias";1
"pabloiglesias";NA
"ahorapodemos";2
"irenemontero";NA
"unidas podemos";NA
"podemos";2
"casado";22
"pablo casado";18
"pablocasado";55
"populares";4
"pp";NA
"partido popular";NA
"ciudadanos";NA
"cs";NA
"ciudadanoscs";NA
"inesarrimadas";NA
"albertrivera";NA
"rivera";1
"albert rivera";NA
"psoe";7
"partido socialista obrero espanol";NA
"pedro sanchez";3
"sanchez";5
"sanchezcastejon";8
"vox";1
"santiago abascal";NA
"abascal";NA
"voxes";NA
"santiabascal";NA
