"Word";"Frec"
"pablo iglesias";NA
"iglesias";NA
"pabloiglesias";NA
"ahorapodemos";NA
"irenemontero";NA
"unidas podemos";NA
"podemos";1
"casado";NA
"pablo casado";NA
"pablocasado";NA
"populares";NA
"pp";NA
"partido popular";NA
"ciudadanos";NA
"cs";NA
"ciudadanoscs";NA
"inesarrimadas";NA
"albertrivera";NA
"rivera";NA
"albert rivera";NA
"psoe";1
"partido socialista obrero espanol";NA
"pedro sanchez";NA
"sanchez";2
"sanchezcastejon";1
"vox";NA
"santiago abascal";NA
"abascal";NA
"voxes";NA
"santiabascal";NA
