"City";"Support_PP";"Support_PSOE";"Support_Cs";"Support_Podemos";"Support_VOX"
"Bilbao";-19;32;27;35;-10
"Las Palmas de Gran Canaria";-22;33;12;37;-21
"Palma";11;8;21;3;9
"Murcia";-1;21;23;13;-6
"Málaga";-5;23;30;16;-10
"Zaragoza";-28;26;4;36;-15
"Sevilla";0;17;32;16;8
"València";-3;7;26;14;-7
"Barcelona";-12;30;21;31;-10
"Madrid";11;17;41;8;16
