"City";"Support_PP";"Support_PSOE";"Support_Cs";"Support_Podemos";"Support_VOX"
"Bilbao";0;17;32;12;-6
"Las Palmas de Gran Canaria";-3;10;12;14;2
"Palma";2;2;9;-1;8
"Murcia";15;13;39;-6;18
"Málaga";-3;-2;2;7;-1
"Zaragoza";2;4;11;3;5
"Sevilla";-4;11;10;14;5
"València";-2;16;1;11;0
"Barcelona";5;25;42;15;0
"Madrid";3;8;51;17;20
