"City";"Support_PP";"Support_PSOE";"Support_Cs";"Support_Podemos";"Support_VOX"
"Bilbao";7;2;24;10;15
"Las Palmas de Gran Canaria";2;6;20;9;7
"Palma";-17;22;7;27;-6
"Murcia";10;11;29;9;9
"Málaga";1;8;23;10;1
"Zaragoza";-19;16;8;28;-12
"Sevilla";-3;12;13;13;-3
"València";-3;11;10;9;-11
"Barcelona";-13;26;32;32;-11
"Madrid";-8;21;32;32;-10
