"City";"Support_PP";"Support_PSOE";"Support_Cs";"Support_Podemos";"Support_VOX"
"Bilbao";12;7;26;2;15
"Las Palmas de Gran Canaria";0;5;3;8;2
"Palma";-1;6;12;11;5
"Murcia";4;8;45;5;9
"Málaga";5;0;5;0;6
"Zaragoza";1;0;0;1;1
"Sevilla";2;4;14;9;1
"València";4;1;12;-3;9
"Barcelona";-5;21;30;16;4
"Madrid";15;14;54;7;8
