"City";"Support_PP";"Support_PSOE";"Support_Cs";"Support_Podemos";"Support_VOX"
"Bilbao";-27;21;7;32;-17
"Las Palmas de Gran Canaria";16;-12;24;-19;33
"Palma";12;0;10;-8;13
"Murcia";-2;8;7;5;5
"Málaga";-4;7;-4;8;-3
"Zaragoza";0;1;0;2;3
"Sevilla";-8;21;4;17;-13
"València";0;4;9;-1;6
"Barcelona";9;7;27;5;15
"Madrid";7;-1;45;5;11
