"Word";"Frec"
"pablo iglesias";149
"iglesias";162
"pabloiglesias";1
"ahorapodemos";1
"irenemontero";NA
"unidas podemos";33
"podemos";402
"casado";3
"pablo casado";3
"pablocasado";3
"populares";12
"pp";NA
"partido popular";NA
"ciudadanos";2
"cs";NA
"ciudadanoscs";1
"inesarrimadas";1
"albertrivera";NA
"rivera";3
"albert rivera";NA
"psoe";14
"partido socialista obrero espanol";NA
"pedro sanchez";55
"sanchez";62
"sanchezcastejon";21
"vox";73
"santiago abascal";48
"abascal";57
"voxes";2
"santiabascal";2
