"Word";"Frec"
"facha";NA
"corrupcion";22
"tesis";NA
"plagio";NA
"chalet";NA
"racista";NA
"separatistas";2
"liberal";1
"independentistas";3
"contrato fijo";NA
"empleo precario";NA
"empleo temporal";NA
"subir salario minimo";NA
"brecha salarial";NA
"deuda publica";NA
"pensiones";1
"incrementar natalidad";NA
"contrato unico indefinido";NA
"precariedad";NA
"lucha precariedad";NA
"contratos basura";NA
"ofrecer vivienda";NA
"subir impuestos";NA
"expropiar";NA
"maternidad";NA
"feminismo";9
"muerte digna";NA
"maltrato";3
"concertinas";NA
"asilo";NA
"refugiados";NA
"ultraderecha";2
"lgtbi";1
"romper espana";NA
"trio colon";5
"vieja politica";NA
"transicion ecologica";NA
"violencia machista";NA
"violencia intrafamiliar";NA
"prision permanente revisable";NA
"gobierno progresista";NA
"pablo iglesias";11
"iglesias";103
"pabloiglesias";2
"ahorapodemos";7
"irenemontero";2
"unidas podemos";3
"podemos";15
"casado";8
"pablo casado";1
"pablocasado";5
"populares";3
"pp";NA
"partido popular";NA
"ciudadanos";39
"cs";NA
"ciudadanoscs";40
"inesarrimadas";20
"albertrivera";NA
"rivera";17
"albert rivera";NA
"psoe";21
"partido socialista obrero espanol";NA
"pedro sanchez";15
"sanchez";76
"psoe";21
"sanchezcastejon";20
"vox";428
"santiago abascal";4
"abascal";5
"voxes";30
"santiabascal";31
"veleta naranja";NA
"derechita cobarde";NA
"trifachito";5
"si se puede";NA
"venezuela";3
"chavistas";NA
"bolivarianos";NA
"viva espana";270
"etarra";NA
"proetarras";1
"comunistas";1
"frentismo";NA
"energias renovables";NA
"golpistas";3
"enemigos espana";NA
"fascismo";37
