"Word";"Frec"
"pablo iglesias";NA
"iglesias";3
"pabloiglesias";5
"ahorapodemos";2
"irenemontero";NA
"unidas podemos";NA
"podemos";11
"casado";NA
"pablo casado";NA
"pablocasado";NA
"populares";14
"pp";NA
"partido popular";NA
"ciudadanos";2
"cs";NA
"ciudadanoscs";1
"inesarrimadas";1
"albertrivera";NA
"rivera";NA
"albert rivera";NA
"psoe";19
"partido socialista obrero espanol";NA
"pedro sanchez";1
"sanchez";1
"sanchezcastejon";2
"vox";46
"santiago abascal";2
"abascal";3
"voxes";30
"santiabascal";24
