"name";"url";"query";"woeid";"City"
"#SVGala1";"http://twitter.com/search?q=%23SVGala1";"%23SVGala1";"754542";"Bilbao"
"#ElDebateETB";"http://twitter.com/search?q=%23ElDebateETB";"%23ElDebateETB";"754542";"Bilbao"
"#AvengersEndgame";"http://twitter.com/search?q=%23AvengersEndgame";"%23AvengersEndgame";"754542";"Bilbao"
"#Iñigo250";"http://twitter.com/search?q=%23I%C3%B1igo250";"%23I%C3%B1igo250";"754542";"Bilbao"
"#Endgame";"http://twitter.com/search?q=%23Endgame";"%23Endgame";"754542";"Bilbao"
"Athletic Club";"http://twitter.com/search?q=%22Athletic+Club%22";"%22Athletic+Club%22";"754542";"Bilbao"
"Pantoja";"http://twitter.com/search?q=Pantoja";"Pantoja";"754542";"Bilbao"
"Púnica";"http://twitter.com/search?q=P%C3%BAnica";"P%C3%BAnica";"754542";"Bilbao"
"Esperanza Aguirre";"http://twitter.com/search?q=%22Esperanza+Aguirre%22";"%22Esperanza+Aguirre%22";"754542";"Bilbao"
"Carolina Durante";"http://twitter.com/search?q=%22Carolina+Durante%22";"%22Carolina+Durante%22";"754542";"Bilbao"
"Taylor Swift";"http://twitter.com/search?q=%22Taylor+Swift%22";"%22Taylor+Swift%22";"754542";"Bilbao"
"Gernika";"http://twitter.com/search?q=Gernika";"Gernika";"754542";"Bilbao"
"Russell";"http://twitter.com/search?q=Russell";"Russell";"754542";"Bilbao"
"Bebe";"http://twitter.com/search?q=Bebe";"Bebe";"754542";"Bilbao"
"Vicente Aleixandre";"http://twitter.com/search?q=%22Vicente+Aleixandre%22";"%22Vicente+Aleixandre%22";"754542";"Bilbao"
"Brendon Urie";"http://twitter.com/search?q=%22Brendon+Urie%22";"%22Brendon+Urie%22";"754542";"Bilbao"
"Mitin Vox El";"http://twitter.com/search?q=%22Mitin+Vox+El%22";"%22Mitin+Vox+El%22";"754542";"Bilbao"
"At The Disco";"http://twitter.com/search?q=%22At+The+Disco%22";"%22At+The+Disco%22";"754542";"Bilbao"
"\"Thanos\"";"http://twitter.com/search?q=%22Thanos%22";"%22Thanos%22";"754542";"Bilbao"
"Parques Reunidos";"http://twitter.com/search?q=%22Parques+Reunidos%22";"%22Parques+Reunidos%22";"754542";"Bilbao"
"Iglesias 72";"http://twitter.com/search?q=%22Iglesias+72%22";"%22Iglesias+72%22";"754542";"Bilbao"
"#EstamosMuyCerca";"http://twitter.com/search?q=%23EstamosMuyCerca";"%23EstamosMuyCerca";"754542";"Bilbao"
"#EleccionesGenerales";"http://twitter.com/search?q=%23EleccionesGenerales";"%23EleccionesGenerales";"754542";"Bilbao"
"#FelizFinde";"http://twitter.com/search?q=%23FelizFinde";"%23FelizFinde";"754542";"Bilbao"
"#FinCampañaESP";"http://twitter.com/search?q=%23FinCampa%C3%B1aESP";"%23FinCampa%C3%B1aESP";"754542";"Bilbao"
"#DiadelaVisibilidadLesbica";"http://twitter.com/search?q=%23DiadelaVisibilidadLesbica";"%23DiadelaVisibilidadLesbica";"754542";"Bilbao"
"#DignidadSalarialYProfesional";"http://twitter.com/search?q=%23DignidadSalarialYProfesional";"%23DignidadSalarialYProfesional";"754542";"Bilbao"
"#MeOutNow";"http://twitter.com/search?q=%23MeOutNow";"%23MeOutNow";"754542";"Bilbao"
"#EquiparacionSalarial";"http://twitter.com/search?q=%23EquiparacionSalarial";"%23EquiparacionSalarial";"754542";"Bilbao"
"#EstáPasando";"http://twitter.com/search?q=%23Est%C3%A1Pasando";"%23Est%C3%A1Pasando";"754542";"Bilbao"
"#LaCafeteraQueNoPasen";"http://twitter.com/search?q=%23LaCafeteraQueNoPasen";"%23LaCafeteraQueNoPasen";"754542";"Bilbao"
"#CasadoConMadrid";"http://twitter.com/search?q=%23CasadoConMadrid";"%23CasadoConMadrid";"754542";"Bilbao"
"#FinDeSemana";"http://twitter.com/search?q=%23FinDeSemana";"%23FinDeSemana";"754542";"Bilbao"
"#FinCampañaARV";"http://twitter.com/search?q=%23FinCampa%C3%B1aARV";"%23FinCampa%C3%B1aARV";"754542";"Bilbao"
"#SacaTuPluma";"http://twitter.com/search?q=%23SacaTuPluma";"%23SacaTuPluma";"754542";"Bilbao"
"#LaNocheDeLosLibros";"http://twitter.com/search?q=%23LaNocheDeLosLibros";"%23LaNocheDeLosLibros";"754542";"Bilbao"
"#AR26A";"http://twitter.com/search?q=%23AR26A";"%23AR26A";"754542";"Bilbao"
"#AzerbaijanGP";"http://twitter.com/search?q=%23AzerbaijanGP";"%23AzerbaijanGP";"754542";"Bilbao"
"#WorldIPDay";"http://twitter.com/search?q=%23WorldIPDay";"%23WorldIPDay";"754542";"Bilbao"
"#28AVotaEnDefensaPropia";"http://twitter.com/search?q=%2328AVotaEnDefensaPropia";"%2328AVotaEnDefensaPropia";"754542";"Bilbao"
"#VisibilidadLésbica";"http://twitter.com/search?q=%23VisibilidadL%C3%A9sbica";"%23VisibilidadL%C3%A9sbica";"754542";"Bilbao"
"#ApproachingTheFuture2019";"http://twitter.com/search?q=%23ApproachingTheFuture2019";"%23ApproachingTheFuture2019";"754542";"Bilbao"
"#5TrabajosQueHeTenido";"http://twitter.com/search?q=%235TrabajosQueHeTenido";"%235TrabajosQueHeTenido";"754542";"Bilbao"
"#DebateSERLasPalmas";"http://twitter.com/search?q=%23DebateSERLasPalmas";"%23DebateSERLasPalmas";"754542";"Bilbao"
"#LDesayunos";"http://twitter.com/search?q=%23LDesayunos";"%23LDesayunos";"754542";"Bilbao"
"#Contracrónica";"http://twitter.com/search?q=%23Contracr%C3%B3nica";"%23Contracr%C3%B3nica";"754542";"Bilbao"
"#26Abril";"http://twitter.com/search?q=%2326Abril";"%2326Abril";"754542";"Bilbao"
"#AndaLevantaV26";"http://twitter.com/search?q=%23AndaLevantaV26";"%23AndaLevantaV26";"754542";"Bilbao"
"#PedroSánchezEnLaSER";"http://twitter.com/search?q=%23PedroS%C3%A1nchezEnLaSER";"%23PedroS%C3%A1nchezEnLaSER";"754542";"Bilbao"
"#AlienDay";"http://twitter.com/search?q=%23AlienDay";"%23AlienDay";"754542";"Bilbao"
"#FelizFinde";"http://twitter.com/search?q=%23FelizFinde";"%23FelizFinde";"764814";"Las Palmas de Gran Canaria"
"#AvengersEndame";"http://twitter.com/search?q=%23AvengersEndame";"%23AvengersEndame";"764814";"Las Palmas de Gran Canaria"
"#FinCampañaESP";"http://twitter.com/search?q=%23FinCampa%C3%B1aESP";"%23FinCampa%C3%B1aESP";"764814";"Las Palmas de Gran Canaria"
"Púnica";"http://twitter.com/search?q=P%C3%BAnica";"P%C3%BAnica";"764814";"Las Palmas de Gran Canaria"
"#DiadelaVisibilidadLesbica";"http://twitter.com/search?q=%23DiadelaVisibilidadLesbica";"%23DiadelaVisibilidadLesbica";"764814";"Las Palmas de Gran Canaria"
"Esperanza Aguirre";"http://twitter.com/search?q=%22Esperanza+Aguirre%22";"%22Esperanza+Aguirre%22";"764814";"Las Palmas de Gran Canaria"
"#DignidadSalarialYProfesional";"http://twitter.com/search?q=%23DignidadSalarialYProfesional";"%23DignidadSalarialYProfesional";"764814";"Las Palmas de Gran Canaria"
"Carolina Durante";"http://twitter.com/search?q=%22Carolina+Durante%22";"%22Carolina+Durante%22";"764814";"Las Palmas de Gran Canaria"
"Taylor Swift";"http://twitter.com/search?q=%22Taylor+Swift%22";"%22Taylor+Swift%22";"764814";"Las Palmas de Gran Canaria"
"Gernika";"http://twitter.com/search?q=Gernika";"Gernika";"764814";"Las Palmas de Gran Canaria"
"Russell";"http://twitter.com/search?q=Russell";"Russell";"764814";"Las Palmas de Gran Canaria"
"Bebe";"http://twitter.com/search?q=Bebe";"Bebe";"764814";"Las Palmas de Gran Canaria"
"Vicente Aleixandre";"http://twitter.com/search?q=%22Vicente+Aleixandre%22";"%22Vicente+Aleixandre%22";"764814";"Las Palmas de Gran Canaria"
"Brendon Urie";"http://twitter.com/search?q=%22Brendon+Urie%22";"%22Brendon+Urie%22";"764814";"Las Palmas de Gran Canaria"
"Libres 1";"http://twitter.com/search?q=%22Libres+1%22";"%22Libres+1%22";"764814";"Las Palmas de Gran Canaria"
"Mitin Vox El";"http://twitter.com/search?q=%22Mitin+Vox+El%22";"%22Mitin+Vox+El%22";"764814";"Las Palmas de Gran Canaria"
"At The Disco";"http://twitter.com/search?q=%22At+The+Disco%22";"%22At+The+Disco%22";"764814";"Las Palmas de Gran Canaria"
"\"Thanos\"";"http://twitter.com/search?q=%22Thanos%22";"%22Thanos%22";"764814";"Las Palmas de Gran Canaria"
"Iglesias 72";"http://twitter.com/search?q=%22Iglesias+72%22";"%22Iglesias+72%22";"764814";"Las Palmas de Gran Canaria"
"Parques Reunidos";"http://twitter.com/search?q=%22Parques+Reunidos%22";"%22Parques+Reunidos%22";"764814";"Las Palmas de Gran Canaria"
"El Gatopardo";"http://twitter.com/search?q=%22El+Gatopardo%22";"%22El+Gatopardo%22";"764814";"Las Palmas de Gran Canaria"
"John Havlicek";"http://twitter.com/search?q=%22John+Havlicek%22";"%22John+Havlicek%22";"764814";"Las Palmas de Gran Canaria"
"Hoy 26";"http://twitter.com/search?q=%22Hoy+26%22";"%22Hoy+26%22";"764814";"Las Palmas de Gran Canaria"
"Financial Times";"http://twitter.com/search?q=%22Financial+Times%22";"%22Financial+Times%22";"764814";"Las Palmas de Gran Canaria"
"#EleccionesGenerales28Abril";"http://twitter.com/search?q=%23EleccionesGenerales28Abril";"%23EleccionesGenerales28Abril";"764814";"Las Palmas de Gran Canaria"
"#MeOutNow";"http://twitter.com/search?q=%23MeOutNow";"%23MeOutNow";"764814";"Las Palmas de Gran Canaria"
"#EquiparacionSalarial";"http://twitter.com/search?q=%23EquiparacionSalarial";"%23EquiparacionSalarial";"764814";"Las Palmas de Gran Canaria"
"#EstáPasando";"http://twitter.com/search?q=%23Est%C3%A1Pasando";"%23Est%C3%A1Pasando";"764814";"Las Palmas de Gran Canaria"
"#LaCafeteraQueNoPasen";"http://twitter.com/search?q=%23LaCafeteraQueNoPasen";"%23LaCafeteraQueNoPasen";"764814";"Las Palmas de Gran Canaria"
"#CasadoConMadrid";"http://twitter.com/search?q=%23CasadoConMadrid";"%23CasadoConMadrid";"764814";"Las Palmas de Gran Canaria"
"#FinCampañaARV";"http://twitter.com/search?q=%23FinCampa%C3%B1aARV";"%23FinCampa%C3%B1aARV";"764814";"Las Palmas de Gran Canaria"
"#SacaTuPluma";"http://twitter.com/search?q=%23SacaTuPluma";"%23SacaTuPluma";"764814";"Las Palmas de Gran Canaria"
"#FinDeSemana";"http://twitter.com/search?q=%23FinDeSemana";"%23FinDeSemana";"764814";"Las Palmas de Gran Canaria"
"#LaNocheDeLosLibros";"http://twitter.com/search?q=%23LaNocheDeLosLibros";"%23LaNocheDeLosLibros";"764814";"Las Palmas de Gran Canaria"
"#AR26A";"http://twitter.com/search?q=%23AR26A";"%23AR26A";"764814";"Las Palmas de Gran Canaria"
"#AzerbaijanGP";"http://twitter.com/search?q=%23AzerbaijanGP";"%23AzerbaijanGP";"764814";"Las Palmas de Gran Canaria"
"#WorldIPDay";"http://twitter.com/search?q=%23WorldIPDay";"%23WorldIPDay";"764814";"Las Palmas de Gran Canaria"
