"Word";"Frec"
"pablo iglesias";NA
"iglesias";3
"pabloiglesias";6
"ahorapodemos";1
"irenemontero";NA
"unidas podemos";NA
"podemos";12
"casado";10
"pablo casado";NA
"pablocasado";1
"populares";1
"pp";NA
"partido popular";NA
"ciudadanos";4
"cs";NA
"ciudadanoscs";NA
"inesarrimadas";NA
"albertrivera";NA
"rivera";7
"albert rivera";NA
"psoe";16
"partido socialista obrero espanol";NA
"pedro sanchez";2
"sanchez";3
"sanchezcastejon";1
"vox";10
"santiago abascal";NA
"abascal";5
"voxes";4
"santiabascal";NA
