"Word";"Frec"
"pablo iglesias";NA
"iglesias";NA
"pabloiglesias";1
"ahorapodemos";1
"irenemontero";NA
"unidas podemos";NA
"podemos";NA
"casado";NA
"pablo casado";NA
"pablocasado";NA
"populares";NA
"pp";NA
"partido popular";NA
"ciudadanos";NA
"cs";NA
"ciudadanoscs";NA
"inesarrimadas";NA
"albertrivera";NA
"rivera";NA
"albert rivera";NA
"psoe";NA
"partido socialista obrero espanol";NA
"pedro sanchez";NA
"sanchez";NA
"sanchezcastejon";1
"vox";NA
"santiago abascal";1
"abascal";1
"voxes";1
"santiabascal";NA
