"Word";"Frec"
"facha";1
"corrupcion";NA
"tesis";NA
"plagio";NA
"chalet";NA
"racista";NA
"separatistas";NA
"liberal";NA
"independentistas";NA
"contrato fijo";NA
"empleo precario";NA
"empleo temporal";NA
"subir salario minimo";NA
"brecha salarial";NA
"deuda publica";NA
"pensiones";1
"incrementar natalidad";NA
"contrato unico indefinido";NA
"precariedad";NA
"lucha precariedad";NA
"contratos basura";NA
"ofrecer vivienda";NA
"subir impuestos";NA
"expropiar";NA
"maternidad";NA
"feminismo";1
"muerte digna";NA
"maltrato";NA
"concertinas";NA
"asilo";NA
"refugiados";NA
"ultraderecha";NA
"lgtbi";NA
"romper espana";NA
"trio colon";NA
"vieja politica";NA
"transicion ecologica";NA
"violencia machista";NA
"violencia intrafamiliar";NA
"prision permanente revisable";NA
"gobierno progresista";NA
"pablo iglesias";3
"iglesias";3
"pabloiglesias";4
"ahorapodemos";2
"irenemontero";NA
"unidas podemos";NA
"podemos";10
"casado";4
"pablo casado";NA
"pablocasado";10
"populares";4
"pp";NA
"partido popular";NA
"ciudadanos";2
"cs";NA
"ciudadanoscs";1
"inesarrimadas";1
"albertrivera";NA
"rivera";2
"albert rivera";NA
"psoe";20
"partido socialista obrero espanol";NA
"pedro sanchez";6
"sanchez";9
"sanchezcastejon";15
"vox";17
"santiago abascal";17
"abascal";29
"voxes";18
"santiabascal";64
"veleta naranja";NA
"derechita cobarde";NA
"trifachito";NA
"si se puede";NA
"venezuela";1
"chavistas";NA
"bolivarianos";NA
"viva espana";2
"etarra";NA
"proetarras";NA
"comunistas";NA
"frentismo";NA
"energias renovables";NA
"golpistas";NA
"enemigos espana";NA
"fascismo";NA
