"Word";"Frec"
"facha";NA
"corrupcion";NA
"tesis";NA
"plagio";NA
"chalet";NA
"racista";1
"separatistas";NA
"liberal";NA
"independentistas";3
"contrato fijo";NA
"empleo precario";NA
"empleo temporal";NA
"subir salario minimo";NA
"brecha salarial";2
"deuda publica";NA
"pensiones";1
"incrementar natalidad";NA
"contrato unico indefinido";NA
"precariedad";NA
"lucha precariedad";NA
"contratos basura";NA
"ofrecer vivienda";NA
"subir impuestos";NA
"expropiar";NA
"maternidad";NA
"feminismo";NA
"muerte digna";NA
"maltrato";NA
"concertinas";NA
"asilo";NA
"refugiados";NA
"ultraderecha";NA
"lgtbi";2
"romper espana";2
"trio colon";NA
"vieja politica";NA
"transicion ecologica";NA
"violencia machista";2
"violencia intrafamiliar";NA
"prision permanente revisable";NA
"gobierno progresista";NA
"pablo iglesias";NA
"iglesias";NA
"pabloiglesias";NA
"ahorapodemos";NA
"irenemontero";NA
"unidas podemos";13
"podemos";23
"casado";NA
"pablo casado";NA
"pablocasado";2
"populares";11
"pp";NA
"partido popular";NA
"ciudadanos";15
"cs";NA
"ciudadanoscs";NA
"inesarrimadas";NA
"albertrivera";NA
"rivera";NA
"albert rivera";NA
"psoe";26
"partido socialista obrero espanol";NA
"pedro sanchez";1
"sanchez";12
"psoe";26
"sanchezcastejon";4
"vox";6
"santiago abascal";NA
"abascal";NA
"voxes";NA
"santiabascal";NA
"veleta naranja";NA
"derechita cobarde";NA
"trifachito";21
"si se puede";NA
"venezuela";NA
"chavistas";NA
"volivarianos";NA
"viva espana";NA
"etarra";NA
"proetarras";NA
"comunistas";NA
"frentismo";NA
"energias renovables";NA
"golpistas";1
"enemigos espana";NA
