"Word";"Frec"
"pablo iglesias";32
"iglesias";37
"pabloiglesias";153
"ahorapodemos";20
"irenemontero";215
"unidas podemos";8
"podemos";123
"casado";148
"pablo casado";123
"pablocasado";152
"populares";196
"pp";NA
"partido popular";NA
"ciudadanos";170
"cs";NA
"ciudadanoscs";10
"inesarrimadas";NA
"albertrivera";NA
"rivera";60
"albert rivera";NA
"psoe";243
"partido socialista obrero espanol";NA
"pedro sanchez";151
"sanchez";386
"sanchezcastejon";108
"vox";20
"santiago abascal";3
"abascal";5
"voxes";60
"santiabascal";67
