"Word";"Frec"
"facha";NA
"corrupcion";NA
"tesis";NA
"plagio";NA
"chalet";NA
"racista";NA
"separatistas";NA
"liberal";NA
"independentistas";NA
"contrato fijo";NA
"empleo precario";NA
"empleo temporal";NA
"subir salario minimo";NA
"brecha salarial";NA
"deuda publica";NA
"pensiones";5
"incrementar natalidad";NA
"contrato unico indefinido";NA
"precariedad";NA
"lucha precariedad";NA
"contratos basura";NA
"ofrecer vivienda";NA
"subir impuestos";NA
"expropiar";NA
"maternidad";NA
"feminismo";NA
"muerte digna";NA
"maltrato";NA
"concertinas";NA
"asilo";NA
"refugiados";1
"ultraderecha";NA
"lgtbi";NA
"romper espana";NA
"trio colon";NA
"vieja politica";NA
"transicion ecologica";NA
"violencia machista";NA
"violencia intrafamiliar";NA
"prision permanente revisable";NA
"gobierno progresista";NA
"pablo iglesias";1
"iglesias";1
"pabloiglesias";1
"ahorapodemos";NA
"irenemontero";NA
"unidas podemos";NA
"podemos";NA
"casado";NA
"pablo casado";NA
"pablocasado";NA
"populares";1
"pp";NA
"partido popular";NA
"ciudadanos";NA
"cs";NA
"ciudadanoscs";NA
"inesarrimadas";NA
"albertrivera";NA
"rivera";NA
"albert rivera";NA
"psoe";1
"partido socialista obrero espanol";NA
"pedro sanchez";NA
"sanchez";NA
"psoe";1
"sanchezcastejon";NA
"vox";9
"santiago abascal";NA
"abascal";NA
"voxes";NA
"santiabascal";NA
"veleta naranja";NA
"derechita cobarde";NA
"trifachito";NA
"si se puede";NA
"venezuela";NA
"chavistas";NA
"bolivarianos";NA
"viva espana";2
"etarra";NA
"proetarras";NA
"comunistas";NA
"frentismo";NA
"energias renovables";NA
"golpistas";NA
"enemigos espana";NA
"fascismo";NA
