"Word";"Frec"
"pablo iglesias";NA
"iglesias";2
"pabloiglesias";1
"ahorapodemos";NA
"irenemontero";NA
"unidas podemos";NA
"podemos";5
"casado";2
"pablo casado";NA
"pablocasado";35
"populares";NA
"pp";NA
"partido popular";NA
"ciudadanos";4
"cs";NA
"ciudadanoscs";1
"inesarrimadas";NA
"albertrivera";NA
"rivera";1
"albert rivera";NA
"psoe";5
"partido socialista obrero espanol";NA
"pedro sanchez";11
"sanchez";30
"sanchezcastejon";NA
"vox";24
"santiago abascal";1
"abascal";6
"voxes";2
"santiabascal";1
