"Word";"Frec"
"facha";NA
"corrupcion";NA
"tesis";NA
"plagio";NA
"chalet";NA
"racista";9
"separatistas";NA
"liberal";NA
"independentistas";NA
"contrato fijo";NA
"empleo precario";NA
"empleo temporal";NA
"subir salario minimo";NA
"brecha salarial";NA
"deuda publica";NA
"pensiones";NA
"incrementar natalidad";NA
"contrato unico indefinido";NA
"precariedad";NA
"lucha precariedad";NA
"contratos basura";NA
"ofrecer vivienda";NA
"subir impuestos";NA
"expropiar";NA
"maternidad";NA
"feminismo";1
"muerte digna";NA
"maltrato";NA
"concertinas";NA
"asilo";NA
"refugiados";NA
"ultraderecha";NA
"lgtbi";NA
"romper espana";NA
"trio colon";5
"vieja politica";NA
"transicion ecologica";NA
"violencia machista";NA
"violencia intrafamiliar";NA
"prision permanente revisable";NA
"gobierno progresista";13
"pablo iglesias";NA
"iglesias";1
"pabloiglesias";5
"ahorapodemos";NA
"irenemontero";NA
"unidas podemos";20
"podemos";36
"casado";2
"pablo casado";NA
"pablocasado";1
"populares";1
"pp";NA
"partido popular";NA
"ciudadanos";33
"cs";NA
"ciudadanoscs";NA
"inesarrimadas";2
"albertrivera";NA
"rivera";14
"albert rivera";NA
"psoe";141
"partido socialista obrero espanol";NA
"pedro sanchez";3
"sanchez";19
"psoe";141
"sanchezcastejon";2
"vox";22
"santiago abascal";NA
"abascal";9
"voxes";NA
"santiabascal";NA
"veleta naranja";NA
"derechita cobarde";NA
"trifachito";1
"si se puede";NA
"venezuela";1
"chavistas";NA
"bolivarianos";NA
"viva espana";NA
"etarra";NA
"proetarras";NA
"comunistas";NA
"frentismo";NA
"energias renovables";NA
"golpistas";NA
"enemigos espana";NA
"fascismo";NA
