"Word";"Frec"
"facha";1
"corrupcion";1
"tesis";NA
"plagio";NA
"chalet";NA
"racista";1
"separatistas";2
"liberal";NA
"independentistas";4
"contrato fijo";NA
"empleo precario";NA
"empleo temporal";NA
"subir salario minimo";NA
"brecha salarial";NA
"deuda publica";NA
"pensiones";12
"incrementar natalidad";NA
"contrato unico indefinido";NA
"precariedad";NA
"lucha precariedad";NA
"contratos basura";NA
"ofrecer vivienda";NA
"subir impuestos";NA
"expropiar";NA
"maternidad";NA
"feminismo";8
"muerte digna";NA
"maltrato";NA
"concertinas";NA
"asilo";NA
"refugiados";NA
"ultraderecha";3
"lgtbi";3
"romper espana";NA
"trio colon";NA
"vieja politica";NA
"transicion ecologica";NA
"violencia machista";NA
"violencia intrafamiliar";NA
"prision permanente revisable";NA
"gobierno progresista";14
"pablo iglesias";2
"iglesias";3
"pabloiglesias";6
"ahorapodemos";25
"irenemontero";NA
"unidas podemos";3
"podemos";135
"casado";2
"pablo casado";NA
"pablocasado";3
"populares";2
"pp";NA
"partido popular";NA
"ciudadanos";10
"cs";NA
"ciudadanoscs";4
"inesarrimadas";81
"albertrivera";NA
"rivera";7
"albert rivera";NA
"psoe";15
"partido socialista obrero espanol";NA
"pedro sanchez";11
"sanchez";18
"psoe";15
"sanchezcastejon";3
"vox";171
"santiago abascal";NA
"abascal";1
"voxes";16
"santiabascal";3
"veleta naranja";NA
"derechita cobarde";NA
"trifachito";6
"si se puede";NA
"venezuela";11
"chavistas";NA
"bolivarianos";NA
"viva espana";3
"etarra";NA
"proetarras";NA
"comunistas";NA
"frentismo";NA
"energias renovables";NA
"golpistas";NA
"enemigos espana";5
"fascismo";15
