"Word";"Frec"
"facha";NA
"corrupcion";41
"tesis";NA
"plagio";NA
"chalet";NA
"racista";1
"separatistas";24
"liberal";1
"independentistas";3
"contrato fijo";NA
"empleo precario";1
"empleo temporal";NA
"subir salario minimo";NA
"brecha salarial";NA
"deuda publica";NA
"pensiones";12
"incrementar natalidad";NA
"contrato unico indefinido";NA
"precariedad";3
"lucha precariedad";NA
"contratos basura";NA
"ofrecer vivienda";NA
"subir impuestos";NA
"expropiar";NA
"maternidad";NA
"feminismo";2
"muerte digna";NA
"maltrato";1
"concertinas";NA
"asilo";NA
"refugiados";NA
"ultraderecha";5
"lgtbi";NA
"romper espana";NA
"trio colon";NA
"vieja politica";NA
"transicion ecologica";NA
"violencia machista";NA
"violencia intrafamiliar";NA
"prision permanente revisable";NA
"gobierno progresista";NA
"pablo iglesias";NA
"iglesias";1
"pabloiglesias";34
"ahorapodemos";36
"irenemontero";NA
"unidas podemos";28
"podemos";63
"casado";4
"pablo casado";NA
"pablocasado";8
"populares";31
"pp";NA
"partido popular";NA
"ciudadanos";14
"cs";NA
"ciudadanoscs";11
"inesarrimadas";3
"albertrivera";NA
"rivera";30
"albert rivera";NA
"psoe";455
"partido socialista obrero espanol";NA
"pedro sanchez";61
"sanchez";141
"psoe";455
"sanchezcastejon";127
"vox";32
"santiago abascal";NA
"abascal";4
"voxes";11
"santiabascal";7
"veleta naranja";NA
"derechita cobarde";NA
"trifachito";2
"si se puede";NA
"venezuela";9
"chavistas";NA
"volivarianos";NA
"viva espana";NA
"etarra";NA
"proetarras";NA
"comunistas";NA
"frentismo";NA
"energias renovables";NA
"golpistas";84
"enemigos espana";NA
